crop_name,scheme_name,subsidy_amount,description
rice,PM-KISAN,6000,Direct income support per year
rice,TN Paddy Subsidy,1000,Per acre subsidy for water pumping
groundnut,Oilseed Mission,5000,50% subsidy on seeds
groundnut,TN Oilseed Boost,2000,Free fertilizer kit
millets,Nutri-Cereals Scheme,2500,Support for sustainable farming
millets,TN Millet Mission,3000,Processing unit subsidy
tomato,Vegetable Cluster Farming,1500,Transport subsidy
brinjal,Vegetable Cluster Farming,1500,Transport subsidy
chili,Spices Board Grant,4000,Quality certification support
banana,Horticulture Mission,3500,Drip irrigation subsidy
sugarcane,Cane Development Fund,2000,Per tonne bonus
maize,Fodder Development,1000,Livestock feed support
